SiO2,Na2O,Al2O3,CaO,TiO2,MgO,P2O5,B2O3,Li2O,Er2O3,K2O,Yb2O3,MnO,Fe2O3,Load,T_annealing,TIME,Hardness,PII,Remarks
86,10,0,0,4,0,0,0,0,0,0,0,0,0,50,600,2,6000000000,S0022309315301873,
83,10,0,0,7,0,0,0,0,0,0,0,0,0,50,600,2,5100000000,S0022309315301873,
80,10,0,0,10,0,0,0,0,0,0,0,0,0,50,600,2,6200000000,S0022309315301873,
81,15,0,0,4,0,0,0,0,0,0,0,0,0,50,600,2,5100000000,S0022309315301873,
78,15,0,0,7,0,0,0,0,0,0,0,0,0,50,600,2,6200000000,S0022309315301873,
75,15,0,0,10,0,0,0,0,0,0,0,0,0,50,600,2,6300000000,S0022309315301873,
76,20,0,0,4,0,0,0,0,0,0,0,0,0,50,600,2,5100000000,S0022309315301873,
73,20,0,0,7,0,0,0,0,0,0,0,0,0,50,600,2,5800000000,S0022309315301873,
70,20,0,0,10,0,0,0,0,0,0,0,0,0,50,600,2,5700000000,S0022309315301873,
71,25,0,0,4,0,0,0,0,0,0,0,0,0,50,600,2,4700000000,S0022309315301873,
68,25,0,0,7,0,0,0,0,0,0,0,0,0,50,600,2,5300000000,S0022309315301873,
65,25,0,0,10,0,0,0,0,0,0,0,0,0,50,600,2,5300000000,S0022309315301873,
0,29.32,0,43.93,0,0,26.75,0,0,0,0,0,0,0,50,398.76,,3030000000,S0022309308002652,Bioglasses
0,27.55,0,44.23,0,0,26.93,0,0,0,1.29,0,0,0,50,397.38,,2520000000,S0022309308002652,Bioglasses
0,25.76,0,44.52,0,0,27.11,0,0,0,2.61,0,0,0,50,395.87,,3180000000,S0022309308002652,Bioglasses
0,23.94,0,44.83,0,0,27.29,0,0,0,3.94,0,0,0,50,394.44,,3050000000,S0022309308002652,Bioglasses
0,22.09,0,45.14,0,0,27.48,0,0,0,5.29,0,0,0,50,395.31,,3290000000,S0022309308002652,Bioglasses
73.24,14.02,1.6,6.35,0,4.79,0,0,0,0,0,0,0,0,50,574.64,,3140000000,S0022309311003887,Cooling rate of furnace was 10 °C/min. 
59.6,16.5,0,0,0,0,0,23.9,0,0,0,0,0,0,50,543,,8200000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
52.6,26.8,0,0,0,0,0,20.6,0,0,0,0,0,0,50,535,,6340000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
51.15,28.69,0,0,0,0,0,20.16,0,0,0,0,0,0,50,494,,5400000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
46.9,34.5,0,0,0,0,0,18.6,0,0,0,0,0,0,50,467,,4900000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
70,14.2,0,0,0,0,0,15.8,0,0,0,0,0,0,50,588,,7200000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
66.7,19.2,0,0,0,0,0,14.1,0,0,0,0,0,0,50,573,,6400000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
61.16,25.53,0,0,0,0,0,13.31,0,0,0,0,0,0,50,539,,5370000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
58,29.1,0,0,0,0,0,12.9,0,0,0,0,0,0,50,505,,4900000000,S0022309315000538,"Subsequently, the glass melt enters in a second furnace and cools at a slower rate (10 °C/h) to release the residual stresses."
0,19.92,0,0,0,0,0,79.68,0,0,0,0,0,0,100,500,2,3530000000,S0022309315000836,
24.95,12.48,0,0,0,0,0,62.38,0,0,0,0,0,0,100,461,2,3580000000,S0022309315000836,
48.5,3,0,0,0,0,0,48.5,0,0,0,0,0,0,100,500,2,3150000000,S0022309315000836,
42.41,14.97,0,0,0,0,0,42.41,0,0,0,0,0,0,100,544,2,5350000000,S0022309315000836,
59.9,6.49,0,0,0,0,0,33.45,0,0,0,0,0,0,100,494,2,3750000000,S0022309315000836,
73.91,9.99,0,0,0,0,0,15.98,0,0,0,0,0,0,100,600,2,6200000000,S0022309315000836,
73.87,4.29,1,0,0,0,0,20.66,0,0,0,0,0,0,100,500,2,4250000000,S0022309315000836,
81.35,4.89,1.3,0,0,0,0,11.78,0,0,0.5,0,0,0,100,600,2,6470000000,S0022309315000836,
74,10,0,0,0,0,0,16,0,0,0,0,0,0,100,600,2,6620000000,S0022309315000836,
81.4,0,1.3,0,0,0,0,11.79,5.39,0,0,0,0,0,100,600,2,6420000000,S0022309315000836,
72.5,0.7,2,0,0,0,0,18.97,0.8,0,4.89,0,0,0,100,581,2,6330000000,S0022309315000836,
74,10,0,16,0,0,0,0,0,0,0,0,0,0,100,600,2,5360000000,S0022309315000836,
86,10,0,0,4,0,0,0,0,0,0,0,0,0,100,600,2,5000000000,S0022309315301873,
83,10,0,0,7,0,0,0,0,0,0,0,0,0,100,600,2,5900000000,S0022309315301873,
80,10,0,0,10,0,0,0,0,0,0,0,0,0,100,600,2,6700000000,S0022309315301873,
81,15,0,0,4,0,0,0,0,0,0,0,0,0,100,600,2,5700000000,S0022309315301873,
78,15,0,0,7,0,0,0,0,0,0,0,0,0,100,600,2,5700000000,S0022309315301873,
75,15,0,0,10,0,0,0,0,0,0,0,0,0,100,600,2,5800000000,S0022309315301873,
76,20,0,0,4,0,0,0,0,0,0,0,0,0,100,600,2,5000000000,S0022309315301873,
73,20,0,0,7,0,0,0,0,0,0,0,0,0,100,600,2,5500000000,S0022309315301873,
70,20,0,0,10,0,0,0,0,0,0,0,0,0,100,600,2,5100000000,S0022309315301873,
71,25,0,0,4,0,0,0,0,0,0,0,0,0,100,600,2,4900000000,S0022309315301873,
68,25,0,0,7,0,0,0,0,0,0,0,0,0,100,600,2,4100000000,S0022309315301873,
65,25,0,0,10,0,0,0,0,0,0,0,0,0,100,600,2,5500000000,S0022309315301873,
5,0,33.71,61.3,0,0,0,0,0,0,0,0,0,0,100,834,0.5,8100000000,S002230931530137X,
10,0,31.93,58.07,0,0,0,0,0,0,0,0,0,0,100,840,0.5,8250000000,S002230931530137X,
15,0,30.16,54.84,0,0,0,0,0,0,0,0,0,0,100,842,0.5,8180000000,S002230931530137X,
20,0,28.39,51.62,0,0,0,0,0,0,0,0,0,0,100,843,0.5,8150000000,S002230931530137X,
0,0,25.48,64.52,0,10,0,0,0,0,0,0,0,0,100,820,0.5,8500000000,S002230931530137X,
7.89,0,27.11,58.11,0,6.89,0,0,0,0,0,0,0,0,200,841,12,8480000000,S0022309300001332,
7.96,0,27.15,57.77,0,6.95,0,0,0,0,0,0.17,0,0,200,813,12,8200000000,S0022309300001332,
8.04,0,26.06,58.35,0,7.02,0,0,0,0,0,0.53,0,0,200,803,12,7980000000,S0022309300001332,
8.12,0,24.97,58.94,0,7.09,0,0,0,0,0,0.88,0,0,200,788,12,7910000000,S0022309300001332,
8.24,0,27.68,59.25,0,4.74,0,0,0,0.09,0,0,0,0,200,821,12,8350000000,S0022309300001332,
7.95,0,26.99,57.94,0,6.94,0,0,0,0.18,0,0,0,0,200,817,12,8140000000,S0022309300001332,
8.03,0,26.94,57.83,0,6.83,0,0,0,0.37,0,0,0,0,200,822,12,8080000000,S0022309300001332,
8.1,0,25.54,58.69,0,6.94,0,0,0,0.73,0,0,0,0,200,798,12,7990000000,S0022309300001332,
8.19,0,24.44,59.35,0,7.02,0,0,0,1,0,0,0,0,200,791,12,7840000000,S0022309300001332,
8.21,0,23.84,59.54,0,7.16,0,0,0,1.25,0,0,0,0,200,787,12,7770000000,S0022309300001332,
8.24,0,23.26,59.83,0,7.2,0,0,0,1.48,0,0,0,0,200,782,12,7650000000,S0022309300001332,
8.12,0,24.96,58.93,0,7.09,0,0,0,0.37,0,0.53,0,0,200,794,12,7690000000,S0022309300001332,
8.16,0,24.4,59.23,0,7.13,0,0,0,0.37,0,0.71,0,0,200,790,12,7600000000,S0022309300001332,
8.02,0,26.34,58.2,0,7,0,0,0,0.09,0,0.35,0,0,200,807,12,7990000000,S0022309300001332,
8.04,0,26.06,58.34,0,7.03,0,0,0,0.18,0,0.35,0,0,200,798,12,7950000000,S0022309300001332,
7.06,0,25.52,58.63,0,8.08,0,0,0,0.36,0,0.35,0,0,200,792,12,7920000000,S0022309300001332,
8.12,0,24.96,58.92,0,7.09,0,0,0,0.55,0,0.35,0,0,200,798,12,7880000000,S0022309300001332,
8.16,0,24.39,59.23,0,7.13,0,0,0,0.74,0,0.35,0,0,200,791,12,7820000000,S0022309300001332,
8.21,0,23.81,59.53,0,7.17,0,0,0,0.93,0,0.35,0,0,200,785,12,7790000000,S0022309300001332,
60,0,0,0,0,0,0,0,40,0,0,0,0,0,200,461,2,5400000000,S0022309312002013,
60,10,0,0,0,0,0,0,30,0,0,0,0,0,200,407,2,6200000000,S0022309312002013,
60,20,0,0,0,0,0,0,20,0,0,0,0,0,200,392,2,6300000000,S0022309312002013,
60,30,0,0,0,0,0,0,10,0,0,0,0,0,200,386,2,5600000000,S0022309312002013,
60,40,0,0,0,0,0,0,0,0,0,0,0,0,200,444,2,4250000000,S0022309312002013,
0,0,8,0,0,0,46,0,46,0,0,0,0,0,200,396,2,4400000000,S0022309312002013,
0,11.5,8,0,0,0,46,0,34.5,0,0,0,0,0,200,358,2,4800000000,S0022309312002013,
0,23,8,0,0,0,46,0,23,0,0,0,0,0,200,344,2,5100000000,S0022309312002013,
0,34.5,8,0,0,0,46,0,11.5,0,0,0,0,0,200,352,2,4500000000,S0022309312002013,
0,46,8,0,0,0,46,0,0,0,0,0,0,0,200,374,2,3400000000,S0022309312002013,
0,0,0,0,0,0,0,70,30,0,0,0,0,0,200,496,2,5100000000,S0022309312002013,
0,7.5,0,0,0,0,0,70,22.5,0,0,0,0,0,200,464,2,5400000000,S0022309312002013,
0,15,0,0,0,0,0,70,15,0,0,0,0,0,200,402,2,5750000000,S0022309312002013,
0,22.5,0,0,0,0,0,70,7.5,0,0,0,0,0,200,453,2,5700000000,S0022309312002013,
0,30,0,0,0,0,0,70,0,0,0,0,0,0,200,484,2,4800000000,S0022309312002013,
57.3,0,19,0,9.1,14.6,0,0,0,0,0,0,0,0,200,800,3,6900000000,S002230930200950X,
86,10,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,6300000000,S0022309315301873,
83,10,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4800000000,S0022309315301873,
80,10,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5300000000,S0022309315301873,
81,15,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,6200000000,S0022309315301873,
78,15,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4900000000,S0022309315301873,
75,15,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5200000000,S0022309315301873,
76,20,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,4400000000,S0022309315301873,
73,20,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,5000000000,S0022309315301873,
70,20,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5000000000,S0022309315301873,
71,25,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,4200000000,S0022309315301873,
68,25,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4600000000,S0022309315301873,
65,25,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,4700000000,S0022309315301873,
